Date,24h Average,Ask,Bid,Last,Total Volume
2014-08-02,19.68,8.2,8.5,6.5699999999999,-6320.97
2014-07-31,-7.14,22.86,22.91,20.61,8719.22
2014-07-30,-5.17,-21.92,-22.09,-21.1,4345.03
2014-07-29,1.45,-0.91999999999996,-1.17,-0.67999999999995,-10976.36
2014-07-28,-12.37,-8.3099999999999,-8.51,-7.87,14486.35
2014-07-27,-2.0500000000001,-1.09,-1.49,-1.6900000000001,-3259.12
2014-07-26,-3.6999999999999,-5.67,-4.97,-5.3299999999999,-504.2
2014-07-25,-9.8200000000001,2.78,2.1900000000001,1.7199999999999,-10162.74
2014-07-24,-11.58,-21.9,-21.26,-19.65,9779.04
2014-07-23,-0.76999999999998,-1.4300000000001,-1.25,-3.0599999999999,921.68
2014-07-22,1.89,-0.12,-0.21000000000004,0.44999999999993,-2614.5
2014-07-21,-6.8,-2.11,-1.72,-2.74,6024.28
2014-07-20,-0.28999999999996,-6.6999999999999,-7.02,-6.1999999999999,-1285.22
2014-07-19,0.81999999999994,2.25,2.15,3.26,-5893.2
2014-07-18,8.1800000000001,4.0,3.5500000000001,4.8099999999999,-3697.82
2014-07-17,-1.08,7.2199999999999,7.24,5.86,3581.13
2014-07-16,-3.28,-6.1799999999999,-5.2700000000001,-5.23,2272.7
2014-07-15,0.16999999999996,1.3099999999999,0.72000000000003,0.47000000000003,-491.02
2014-07-14,-8.0699999999999,-7.0699999999999,-7.0899999999999,-7.04,1902.12
2014-07-13,-1.8100000000001,-4.96,-5.71,-5.7,-1791.14
2014-07-12,10.68,1.61,2.88,1.97,-3047.18
2014-07-11,2.54,14.4,14.24,14.63,-1772.02
2014-07-10,-5.4,-7.9,-8.4200000000001,-7.74,6698.08
2014-07-09,1.8199999999999,-0.81999999999994,-0.21999999999991,-0.63999999999999,-53.709999999999
2014-07-08,-5.3099999999999,4.3499999999999,4.38,4.0,-8545.23
2014-07-07,-5.1900000000001,-11.31,-11.8,-11.06,8233.78
2014-07-06,3.95,4.89,5.1900000000001,4.88,1143.08
2014-07-05,-8.66,-1.4,-0.67000000000007,-1.2900000000001,-11429.8
2014-07-04,-6.6800000000001,-11.24,-11.82,-11.65,3771.49
2014-07-03,-0.26999999999998,-6.17,-6.5600000000001,-5.7,-7521.52
2014-07-02,-3.01,-0.030000000000086,0.62,-0.66999999999996,-15631.1
2014-07-01,32.14,8.36,8.1400000000001,9.01,-14063.53
2014-06-30,21.08,44.06,43.47,43.8,46220.36
2014-06-29,-1.3100000000001,-3.5600000000001,-2.38,-3.98,-12423.61
2014-06-28,13.73,14.36,13.47,16.54,-2919.03
2014-06-27,12.54,10.16,9.96,8.74,4307.26
2014-06-26,-1.7099999999999,9.6,9.8499999999999,10.08,-11544.58
2014-06-25,-18.92,-23.45,-23.79,-23.94,15956.54
2014-06-24,-1.4,-2.5400000000001,-1.47,-2.39,-2905.11
2014-06-23,-7.5700000000001,-9.4499999999999,-10.1,-10.35,2999.08
2014-06-22,7.6,5.62,5.9399999999999,6.66,1938.81
2014-06-21,-1.17,0.18999999999994,0.51999999999998,0.21000000000004,-14342.96
2014-06-20,-12.38,-3.35,-4.39,-4.14,8946.69
2014-06-19,-2.86,-9.13,-9.4399999999999,-9.1899999999999,-7246.96
2014-06-18,11.52,-2.5599999999999,-1.6900000000001,-3.1500000000001,2568.84
2014-06-17,2.51,12.64,12.26,14.06,-22382.75
2014-06-16,30.36,23.94,25.47,25.03,15924.28
2014-06-15,-14.21,9.2,8.67,7.2,-22639.17
2014-06-14,-17.63,-33.07,-32.9,-32.98,-23424.81
2014-06-13,-31.24,6.72,6.83,8.22,24746.92
2014-06-12,-18.58,-40.81,-41.5,-40.86,23052.6
2014-06-11,-5.97,-21.8,-22.21,-22.79,6166.17
2014-06-10,2.13,5.76,5.89,4.5500000000001,-984.38
2014-06-09,-5.42,-8.52,-9.26,-8.0,12093.77
2014-06-08,3.3399999999999,-0.079999999999927,0.40999999999997,1.3399999999999,-9346.83
2014-06-07,-3.91,1.67,1.35,0.74000000000001,-1078.53
2014-06-06,6.1,-6.27,-4.64,-6.5799999999999,-11706.77
2014-06-05,6.99,16.64,15.12,16.13,-12696.98
2014-06-04,2.37,-0.98000000000002,0.76999999999998,1.03,-8941.16
2014-06-01,25.36,24.8,24.32,24.96,35387.15
2014-05-31,20.26,-1.5699999999999,-2.4400000000001,-1.9200000000001,-18982.13
2014-05-30,27.15,52.46,52.47,52.07,10679.2
2014-05-29,-3.42,-2.26,-1.91,-2.3200000000001,780.47
2014-05-28,-2.5400000000001,-3.72,-4.8200000000001,-4.5699999999999,-27352.19
2014-05-27,-4.3499999999999,-6.28,-5.5799999999999,-5.75,10753.62
2014-05-26,22.81,12.56,12.65,13.56,-25436.48
2014-05-25,35.58,44.76,44.64,43.83,49213.04
2014-05-24,-7.33,-1.79,-1.5600000000001,-1.3100000000001,-35667.25
2014-05-23,21.83,2.1799999999999,2.1600000000001,2.0600000000001,6943.46
2014-05-22,15.02,31.85,31.59,31.47,22470.83
2014-05-21,29.65,7.63,8.01,8.39,-44428.13
2014-05-20,16.73,38.85,37.87,38.15,57762.31
